ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Lower_Salary,Upper_Salary,Avg_SalaryK,job_title_sim,seniority_by_title,Degree,Skills,Average Salary ,Age
84,R&D Sr Data Scientist,4,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,157,128,data scientist,sr,Master's,SQL,128,87
84,R&D Sr Data Scientist,4,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,157,128,data scientist,sr,Master's,Scikit,128,87
84,R&D Sr Data Scientist,4,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,157,128,data scientist,sr,Master's,TensorFlow,128,87
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,Python,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,Spark,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,AWS,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,Excel,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,Keras,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,Scikit,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,TensorFlow,150.5,15
85,Customer Data Scientist/Sales Engineer (Bay,4.3,h2o.ai,"Mountain View, CA","Mountain View, CA",201 - 500,2011,Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,79,222,150.5,data scientist,Not Specified,PhD,Hadoop,150.5,15
86,Research Scientist,1.9,GNS Healthcare,"Cambridge, MA","Cambridge, MA",51 - 200,2000,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),57,118,87.5,other scientist,Not Specified,Master's,AWS,87.5,26
87,Data Scientist,3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 - 5000,2017,Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),83,137,110,data scientist,Not Specified,Not specified,Python,110,9
87,Data Scientist,3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 - 5000,2017,Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),83,137,110,data scientist,Not Specified,Not specified,Excel,110,9
87,Data Scientist,3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 - 5000,2017,Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),83,137,110,data scientist,Not Specified,Not specified,Scikit,110,9
87,Data Scientist,3.3,Peraton,"Chantilly, VA","Herndon, VA",1001 - 5000,2017,Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),83,137,110,data scientist,Not Specified,Not specified,Hadoop,110,9
88,Data Scientist,4.4,Pactera,"San Jose, CA","Beijing, China",10000+,1995,Private,IT Services,Information Technology,$500 million to $1 billion (USD),86,141,113.5,data scientist,Not Specified,Not specified,Python,113.5,31
88,Data Scientist,4.4,Pactera,"San Jose, CA","Beijing, China",10000+,1995,Private,IT Services,Information Technology,$500 million to $1 billion (USD),86,141,113.5,data scientist,Not Specified,Not specified,Excel,113.5,31
89,Data Scientist,3.9,Nurx,"San Francisco, CA","San Francisco, CA",51 - 200,2016,Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),94,154,124,data scientist,Not Specified,Not specified,Python,124,10
89,Data Scientist,3.9,Nurx,"San Francisco, CA","San Francisco, CA",51 - 200,2016,Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),94,154,124,data scientist,Not Specified,Not specified,SQL,124,10
